state,N,P,K,temperature,humidity,ph,rainfall,season,crop
Jharkhand,51.49,25.1,42.18,31.35,48.6,6.77,2.59,June to September,bajra
Tripura,67.81,36.38,47.18,23.57,56.8,6.48,4.68,September to March,tomato
Tamil Nadu,35.51,28.81,29.58,23,63.4,6.61,1.6,October to February,pulses
Bihar,69.83,33.48,39.43,26.26,67.9,6.32,0,September to March,tomato
Maharashtra,116.75,53.15,122.32,26.73,74.2,6.88,5.6,February to October,sugarcane
Andhra Pradesh,37.99,37.33,54.56,30.69,75.9,6.63,2.25,June to September,groundnut
Rajasthan,52.71,31.65,49.2,29.1,57.5,6.15,0.68,June to September,cotton
Odisha,79.37,46.78,50.59,27.87,68.5,6.48,0.86,June to October,maize
West Bengal,41.13,30.38,37.95,25.19,58.2,6.01,1.34,October to February,pulses
Assam,86.84,43.96,67.59,23.43,81.3,5.96,3.81,April to September,tea
Odisha,59.24,33.27,43.93,24.86,73.9,7.14,2.33,September to March,tomato
Tamil Nadu,37.8,30.85,28.08,21.47,58.5,6.92,0,October to February,pulses
Madhya Pradesh,33.59,47.75,51.11,28.84,68.7,6.03,0,June to September,groundnut
West Bengal,83.36,54.55,46.46,28.19,83.1,6.05,4.67,June to September,rice
Uttar Pradesh,52.1,42.99,42.75,29.87,78.3,6.07,2.06,June to September,groundnut
Jharkhand,92.61,43.11,34.46,24.08,69.4,6.32,0.94,June to October,maize
Chhattisgarh,68.35,35.59,53.19,25.51,67.1,5.88,0.41,September to March,tomato
Jharkhand,83.16,43.99,44.82,23.56,68.3,5.89,4.43,June to October,maize
Tamil Nadu,87.67,32.06,55.26,28.31,57.3,6.96,1.05,June to September,jowar
Maharashtra,91.73,42.87,54.89,27.34,84.1,6.77,0.68,June to September,rice
Assam,65.56,43.66,76.58,23.97,95,5.44,18.91,April to September,tea
Tamil Nadu,51.21,26.39,42.65,30.83,61.3,6.18,0,June to September,cotton
Tamil Nadu,64.46,38.01,50.71,25.92,79.2,5.98,0.86,March to September,coffee
Tamil Nadu,56.43,38.38,45.34,28.69,58.8,5.72,0.46,June to September,soybean
Kerala,63.59,47.42,74.24,26.83,83.7,5,20.93,March to September,coffee
Goa,31.97,32.12,44.36,29.07,81.5,5.6,0,June to September,groundnut
Manipur,71.95,30.95,31.16,24.08,64.3,6.33,1.66,June to September,soybean
Chhattisgarh,64.72,41.97,47.24,30.31,66.6,6.34,0.94,June to September,jowar
Uttar Pradesh,72.88,31.12,57.49,23.44,62,6.5,0.79,September to March,tomato
Uttar Pradesh,48.43,38.89,41.57,29.01,76.6,6.55,4.28,June to September,groundnut
Maharashtra,51.62,48.81,42.92,28.57,76.7,6.4,4.78,June to October,maize
Rajasthan,55.56,33.52,52.84,27.68,55.9,6.81,0.6,June to September,soybean
Karnataka,29.5,34.23,28.84,23.1,55.4,6.89,0.06,October to February,pulses
Manipur,77.62,32.95,67.3,23.18,66,6.59,2.24,October to March,onion
Odisha,90.85,58.47,37.01,27.84,81.9,6.28,11.57,June to September,rice
Jharkhand,42.38,28.55,31.64,24.21,64.1,6.66,0.71,October to February,pulses
Tamil Nadu,70.18,43.1,49.72,29.08,70,6.85,0.03,June to September,cotton
Uttar Pradesh,80.46,40.87,40.13,15.9,58.9,6.79,0,November to March,wheat
Odisha,74.59,37.64,74.15,19.32,74.9,6.79,0,October to March,onion
Karnataka,53.63,43.21,79.28,23.5,81,5.22,3.87,March to September,coffee
Himachal Pradesh,40.16,40.31,36.09,18.98,52.3,7.1,0,October to February,pulses
Chhattisgarh,63.08,23.34,33.91,27.22,70.9,6.12,0.3,June to September,soybean
Karnataka,43.56,35.06,45.99,22.23,48.3,7.35,0.84,October to February,pulses
Uttar Pradesh,109.93,36.73,47.68,16.69,64.4,6.86,0.42,November to March,wheat
